value,day,month,hour_min,day_of_week,holiday,gap_holiday,t
-1.2243976615933843,1,2,1.336684654933746,0,0,-1.8661992450714626,-1.7328083235168554
-1.1341362120356409,1,2,1.3486911326413233,0,0,-1.8661992450714626,-1.7325900352822539
-1.0233987597507648,1,2,1.360697610348901,0,0,-1.8661992450714626,-1.732371747047652
-0.8354740745646368,1,2,1.3727040880564783,0,0,-1.8661992450714626,-1.7321534588130503
-0.7246575400632458,1,2,1.3847105657640555,0,0,-1.8661992450714626,-1.7319351705784485
-0.7823819172461733,1,2,1.3967170434716334,0,0,-1.8661992450714626,-1.7317168823438467
-0.6370624323327568,1,2,1.4087235211792106,0,0,-1.8661992450714626,-1.731498594109245
-0.6367787847564695,1,2,1.4207299988867879,0,0,-1.8661992450714626,-1.7312803058746433
-0.6292678603810846,1,2,1.4327364765943655,0,0,-1.8661992450714626,-1.7310620176400415
-0.7100556219826073,1,2,1.444742954301943,0,0,-1.8661992450714626,-1.7308437294054397
-0.589209347914042,1,2,1.4567494320095202,0,0,-1.8661992450714626,-1.730625441170838
-0.7080393898397525,1,2,1.468755909717098,0,0,-1.8661992450714626,-1.7304071529362361
-0.7272485301254649,1,2,1.4807623874246751,0,0,-1.8661992450714626,-1.7301888647016346
-0.587406343270983,1,2,1.4927688651322524,0,0,-1.8661992450714626,-1.7299705764670328
-0.6269972884232828,1,2,1.5047753428398303,0,0,-1.8661992450714626,-1.729752288232431
-0.6175432023447662,1,2,1.5167818205474075,0,0,-1.8661992450714626,-1.7295339999978292
-0.5295404325911004,1,2,1.5287882982549847,0,0,-1.8661992450714626,-1.7293157117632274
-0.5341985978714286,1,2,1.5407947759625624,0,0,-1.8661992450714626,-1.7290974235286258
-0.5046227435311577,1,2,1.5528012536701397,0,0,-1.8661992450714626,-1.728879135294024
-0.6453130792365248,1,2,1.5648077313777171,0,0,-1.8661992450714626,-1.7286608470594222
-0.4975181858185813,1,2,1.5768142090852948,0,0,-1.8661992450714626,-1.7284425588248205
-0.5448032845364951,1,2,1.588820686792872,0,0,-1.8661992450714626,-1.7282242705902187
-0.633972921434446,1,2,1.6008271645004493,0,0,-1.8661992450714626,-1.728005982355617
-0.5583337746427518,1,2,1.6128336422080272,0,0,-1.8661992450714626,-1.7277876941210153
-0.4992953065520983,1,2,1.6248401199156044,0,0,-1.8661992450714626,-1.7275694058864135
-0.47632374920499637,1,2,1.6368465976231816,0,0,-1.8661992450714626,-1.7273511176518117
-0.5449643146048808,1,2,1.6488530753307593,0,0,-1.8661992450714626,-1.72713282941721
-0.3716296264563362,1,2,1.6608595530383365,0,0,-1.8661992450714626,-1.7269145411826083
-0.5459923545302793,1,2,1.672866030745914,0,0,-1.8661992450714626,-1.7266962529480065
-0.4072445160734066,1,2,1.6848725084534917,0,0,-1.8661992450714626,-1.7264779647134048
-0.5016048455591757,1,2,1.696878986161069,0,0,-1.8661992450714626,-1.726259676478803
-0.5166058967866589,1,2,1.7088854638686461,0,0,-1.8661992450714626,-1.7260413882442012
-0.5284245644369052,1,2,1.720891941576224,0,0,-1.8661992450714626,-1.7258231000095996
-0.4843802896190877,2,2,-1.7249671604984986,1,0,-1.7892859995987194,-1.7256048117749978
-0.4333491429080516,2,2,-1.7129606827909212,1,0,-1.7892859995987194,-1.725386523540396
-0.38005935087375314,2,2,-1.700954205083344,1,0,-1.7892859995987194,-1.7251682353057942
-0.34886131487887145,2,2,-1.6889477273757663,1,0,-1.7892859995987194,-1.7249499470711924
